Date,Customer name,review,car_model,sentiment,issues
22-08-2024,Hugo Singh,"Exterior styling was plain, but I suppose function matters more than form for a rental. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The windshield wipers were old and smeared rain, making night driving stressful. Despite reserving an automatic, I was handed a manual and told no automatics were available. I waited nearly forty minutes in line because only one counter was open at pickup. Pickup location signage was clear enough, though a second sign near the exit would help newcomers. The tank was only three-quarters full even though they claimed it was topped off. The air-conditioning emitted a musty odor that never completely went away during the rental.",Tesla Model 3,negative,"['late_delivery', 'car_condition', 'cleanliness']"
03-03-2025,Carla Rahman,"The air-conditioning emitted a musty odor that never completely went away during the rental. The windshield wipers were old and smeared rain, making night driving stressful. I waited nearly forty minutes in line because only one counter was open at pickup. Exterior styling was plain, but I suppose function matters more than form for a rental. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. There was an unexplained additional charge on my bill that I had to dispute. The infotainment system had standard features, though the screen was smaller than newer models. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly.",Chevrolet Malibu,negative,"['late_delivery', 'cleanliness', 'staff_behavior']"
11-09-2024,David Rahman,"Despite reserving an automatic, I was handed a manual and told no automatics were available. The infotainment system had standard features, though the screen was smaller than newer models. The windshield wipers were old and smeared rain, making night driving stressful. I waited nearly forty minutes in line because only one counter was open at pickup. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Pickup location signage was clear enough, though a second sign near the exit would help newcomers. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. There was an unexplained additional charge on my bill that I had to dispute.",Toyota Corolla,negative,"['late_delivery', 'staff_behavior']"
14-01-2024,Isha Khan,"I loved the peppy acceleration, especially when merging onto the highway. Fuel economy matched the manufacturer's rating; nothing surprising there. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. I waited nearly forty minutes in line because only one counter was open at pickup. Returning the car was effortless; it took less than five minutes to finalize everything. The fuel efficiency saved me money on a long road trip across three states. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. The windshield wipers were old and smeared rain, making night driving stressful.",Jeep Wrangler,positive,"['late_delivery', 'car_condition', 'staff_behavior']"
06-03-2024,Yara Evans,"I loved the peppy acceleration, especially when merging onto the highway. Their mobile app worked, although it occasionally froze during the reservation process. Ride comfort was acceptable on city streets but a bit firm over potholes. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. The pickup process was smooth and the staff greeted me with genuine warmth. The fuel efficiency saved me money on a long road trip across three states. Returning the car was effortless; it took less than five minutes to finalize everything. I appreciated the transparent pricing; there were no hidden fees on my final invoice.",Kia Optima,positive,"['staff_behavior', 'billing']"
28-01-2024,Liam Taylor,"Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. I appreciated the transparent pricing; there were no hidden fees on my final invoice. The car felt brand-new, with no rattles or strange noises even at highway speed. The fuel efficiency saved me money on a long road trip across three states. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. The seats offered decent lumbar support but could use softer cushioning for long drives. I was impressed by how spotless the interior and exterior of the vehicle were. The infotainment system had standard features, though the screen was smaller than newer models.",Audi A4,positive,['billing']
11-05-2025,Tara Usman,"I appreciated the transparent pricing; there were no hidden fees on my final invoice. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. The pickup process was smooth and the staff greeted me with genuine warmth. Despite reserving an automatic, I was handed a manual and told no automatics were available. The air-conditioning emitted a musty odor that never completely went away during the rental. There was an unexplained additional charge on my bill that I had to dispute. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. Acceleration was average; it performed as expected for a mid-size sedan.",Audi A4,positive,"['car_condition', 'cleanliness', 'staff_behavior', 'billing']"
23-04-2024,Isha Rahman,"I was impressed by how spotless the interior and exterior of the vehicle were. There was an unexplained additional charge on my bill that I had to dispute. The windshield wipers were old and smeared rain, making night driving stressful. The pickup process was smooth and the staff greeted me with genuine warmth. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Returning the car was effortless; it took less than five minutes to finalize everything. Road noise was noticeable on rough asphalt, but conversation inside remained possible. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning.",Mercedes C-Class,positive,"['car_condition', 'staff_behavior']"
29-03-2025,Pablo Singh,"I was impressed by how spotless the interior and exterior of the vehicle were. The windshield wipers were old and smeared rain, making night driving stressful. The air-conditioning emitted a musty odor that never completely went away during the rental. Ride comfort was acceptable on city streets but a bit firm over potholes. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The pickup process was smooth and the staff greeted me with genuine warmth. I appreciated the transparent pricing; there were no hidden fees on my final invoice. The tank was only three-quarters full even though they claimed it was topped off.",Tesla Model 3,positive,"['car_condition', 'cleanliness', 'staff_behavior', 'billing']"
19-01-2024,Bob Xu,"The company offered me a free upgrade, and it genuinely enhanced my vacation experience. Fuel economy matched the manufacturer's rating; nothing surprising there. The fuel efficiency saved me money on a long road trip across three states. The pickup process was smooth and the staff greeted me with genuine warmth. I loved the peppy acceleration, especially when merging onto the highway. I was impressed by how spotless the interior and exterior of the vehicle were. Ride comfort was acceptable on city streets but a bit firm over potholes. Returning the car was effortless; it took less than five minutes to finalize everything.",Audi A4,positive,['staff_behavior']
05-06-2024,Zane Rahman,"I appreciated the transparent pricing; there were no hidden fees on my final invoice. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. Returning the car was effortless; it took less than five minutes to finalize everything. Their mobile app worked, although it occasionally froze during the reservation process. The trunk space was adequate for two large suitcases but nothing extraordinary. The fuel efficiency saved me money on a long road trip across three states. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. The pickup process was smooth and the staff greeted me with genuine warmth.",Volkswagen Jetta,positive,"['staff_behavior', 'billing']"
30-05-2025,Rina Chowdhury,"The company offered me a free upgrade, and it genuinely enhanced my vacation experience. The car felt brand-new, with no rattles or strange noises even at highway speed. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. The pickup process was smooth and the staff greeted me with genuine warmth. The fuel efficiency saved me money on a long road trip across three states. I was impressed by how spotless the interior and exterior of the vehicle were. The trunk space was adequate for two large suitcases but nothing extraordinary. Exterior styling was plain, but I suppose function matters more than form for a rental.",BMW 3 Series,positive,['staff_behavior']
08-08-2024,Hugo Evans,"The trunk space was adequate for two large suitcases but nothing extraordinary. Returning the car was effortless; it took less than five minutes to finalize everything. The car felt brand-new, with no rattles or strange noises even at highway speed. Despite reserving an automatic, I was handed a manual and told no automatics were available. I was impressed by how spotless the interior and exterior of the vehicle were. The pickup process was smooth and the staff greeted me with genuine warmth. There was an unexplained additional charge on my bill that I had to dispute. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet.",Honda Civic,positive,['staff_behavior']
28-12-2024,Yara Valdez,"The windshield wipers were old and smeared rain, making night driving stressful. Pickup location signage was clear enough, though a second sign near the exit would help newcomers. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. The infotainment system had standard features, though the screen was smaller than newer models. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. I waited nearly forty minutes in line because only one counter was open at pickup. The air-conditioning emitted a musty odor that never completely went away during the rental. There was an unexplained additional charge on my bill that I had to dispute.",Subaru Impreza,negative,"['late_delivery', 'cleanliness', 'staff_behavior']"
10-02-2024,Javier Khan,"I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Acceleration was average; it performed as expected for a mid-size sedan. The fuel efficiency saved me money on a long road trip across three states. Returning the car was effortless; it took less than five minutes to finalize everything. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. I waited nearly forty minutes in line because only one counter was open at pickup.",Audi A4,negative,"['late_delivery', 'car_condition']"
16-06-2024,Alice Petrov,"I appreciated the transparent pricing; there were no hidden fees on my final invoice. I loved the peppy acceleration, especially when merging onto the highway. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. The air-conditioning emitted a musty odor that never completely went away during the rental. The pickup process was smooth and the staff greeted me with genuine warmth. Their mobile app worked, although it occasionally froze during the reservation process. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The fuel efficiency saved me money on a long road trip across three states.",Honda Civic,positive,"['car_condition', 'cleanliness', 'staff_behavior', 'billing']"
15-09-2024,Rina O'Neil,"Customer service followed up via email to make sure I was satisfied, which felt thoughtful. Acceleration was average; it performed as expected for a mid-size sedan. The car felt brand-new, with no rattles or strange noises even at highway speed. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. I waited nearly forty minutes in line because only one counter was open at pickup. There was an unexplained additional charge on my bill that I had to dispute. The windshield wipers were old and smeared rain, making night driving stressful. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. I appreciated the transparent pricing; there were no hidden fees on my final invoice.",Subaru Impreza,positive,"['late_delivery', 'billing']"
08-10-2024,Nikhil Nakamura,"The fuel efficiency saved me money on a long road trip across three states. I loved the peppy acceleration, especially when merging onto the highway. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. Returning the car was effortless; it took less than five minutes to finalize everything. The car felt brand-new, with no rattles or strange noises even at highway speed. Exterior styling was plain, but I suppose function matters more than form for a rental. Pickup location signage was clear enough, though a second sign near the exit would help newcomers.",BMW 3 Series,positive,['other']
23-09-2024,Yara Quintero,"The windshield wipers were old and smeared rain, making night driving stressful. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. The fuel efficiency saved me money on a long road trip across three states. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. The car felt brand-new, with no rattles or strange noises even at highway speed. Ride comfort was acceptable on city streets but a bit firm over potholes. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet.",Ford Focus,negative,['staff_behavior']
09-07-2024,Uma Nakamura,"Returning the car was effortless; it took less than five minutes to finalize everything. I loved the peppy acceleration, especially when merging onto the highway. The fuel efficiency saved me money on a long road trip across three states. Fuel economy matched the manufacturer's rating; nothing surprising there. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. The infotainment system had standard features, though the screen was smaller than newer models. The pickup process was smooth and the staff greeted me with genuine warmth. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date.",Subaru Impreza,positive,['staff_behavior']
30-07-2024,Uma Valdez,"I found potato chip crumbs under the seat, suggesting the cleaning was rushed. The windshield wipers were old and smeared rain, making night driving stressful. Exterior styling was plain, but I suppose function matters more than form for a rental. The air-conditioning emitted a musty odor that never completely went away during the rental. Despite reserving an automatic, I was handed a manual and told no automatics were available. Pickup location signage was clear enough, though a second sign near the exit would help newcomers. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly.",Kia Optima,negative,"['cleanliness', 'staff_behavior']"
06-05-2025,Olga Khan,"Customer service followed up via email to make sure I was satisfied, which felt thoughtful. The pickup process was smooth and the staff greeted me with genuine warmth. I was impressed by how spotless the interior and exterior of the vehicle were. I loved the peppy acceleration, especially when merging onto the highway. The seats offered decent lumbar support but could use softer cushioning for long drives. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. Acceleration was average; it performed as expected for a mid-size sedan. I appreciated the transparent pricing; there were no hidden fees on my final invoice.",Kia Optima,positive,"['staff_behavior', 'billing']"
18-02-2025,Yara Johansson,"Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. I was impressed by how spotless the interior and exterior of the vehicle were. Ride comfort was acceptable on city streets but a bit firm over potholes. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. I loved the peppy acceleration, especially when merging onto the highway. I appreciated the transparent pricing; there were no hidden fees on my final invoice. The air-conditioning emitted a musty odor that never completely went away during the rental. There was an unexplained additional charge on my bill that I had to dispute.",Jeep Wrangler,positive,"['car_condition', 'cleanliness', 'billing']"
11-01-2025,Elena Diaz,"Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. The car felt brand-new, with no rattles or strange noises even at highway speed. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. Pickup location signage was clear enough, though a second sign near the exit would help newcomers. The pickup process was smooth and the staff greeted me with genuine warmth. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. The tank was only three-quarters full even though they claimed it was topped off. I appreciated the transparent pricing; there were no hidden fees on my final invoice. I found potato chip crumbs under the seat, suggesting the cleaning was rushed.",Hyundai Elantra,positive,"['car_condition', 'staff_behavior', 'billing']"
14-06-2025,Frank Yilmaz,"The air-conditioning emitted a musty odor that never completely went away during the rental. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. I loved the peppy acceleration, especially when merging onto the highway. The car felt brand-new, with no rattles or strange noises even at highway speed. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. I waited nearly forty minutes in line because only one counter was open at pickup. Despite reserving an automatic, I was handed a manual and told no automatics were available. Pickup location signage was clear enough, though a second sign near the exit would help newcomers. I appreciated the transparent pricing; there were no hidden fees on my final invoice.",Toyota Corolla,positive,"['late_delivery', 'car_condition', 'cleanliness', 'billing']"
02-03-2025,Wendy Johansson,"The pickup process was smooth and the staff greeted me with genuine warmth. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. I appreciated the transparent pricing; there were no hidden fees on my final invoice. There was an unexplained additional charge on my bill that I had to dispute. Acceleration was average; it performed as expected for a mid-size sedan. The tank was only three-quarters full even though they claimed it was topped off. I was impressed by how spotless the interior and exterior of the vehicle were. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. The windshield wipers were old and smeared rain, making night driving stressful.",Volkswagen Jetta,positive,"['staff_behavior', 'billing']"
22-01-2024,Hugo López,"Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. Returning the car was effortless; it took less than five minutes to finalize everything. I waited nearly forty minutes in line because only one counter was open at pickup. The tank was only three-quarters full even though they claimed it was topped off. I was impressed by how spotless the interior and exterior of the vehicle were. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The infotainment system had standard features, though the screen was smaller than newer models. Customer service followed up via email to make sure I was satisfied, which felt thoughtful.",Mazda 3,positive,"['late_delivery', 'car_condition']"
04-03-2024,Quinn Chowdhury,"Road noise was noticeable on rough asphalt, but conversation inside remained possible. I was impressed by how spotless the interior and exterior of the vehicle were. The fuel efficiency saved me money on a long road trip across three states. I appreciated the transparent pricing; there were no hidden fees on my final invoice. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. The trunk space was adequate for two large suitcases but nothing extraordinary. Returning the car was effortless; it took less than five minutes to finalize everything.",Chevrolet Malibu,positive,['billing']
23-07-2024,Victor Martin,"Exterior styling was plain, but I suppose function matters more than form for a rental. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. The air-conditioning emitted a musty odor that never completely went away during the rental. Despite reserving an automatic, I was handed a manual and told no automatics were available. Acceleration was average; it performed as expected for a mid-size sedan. There was an unexplained additional charge on my bill that I had to dispute. The windshield wipers were old and smeared rain, making night driving stressful. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly.",Subaru Impreza,negative,['cleanliness']
30-10-2024,Wendy Anderson,"The air-conditioning emitted a musty odor that never completely went away during the rental. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. Ride comfort was acceptable on city streets but a bit firm over potholes. I waited nearly forty minutes in line because only one counter was open at pickup. I appreciated the transparent pricing; there were no hidden fees on my final invoice. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. I was impressed by how spotless the interior and exterior of the vehicle were. The car felt brand-new, with no rattles or strange noises even at highway speed.",Toyota Corolla,positive,"['late_delivery', 'car_condition', 'cleanliness', 'staff_behavior', 'billing']"
30-05-2024,Kara Petrov,"I loved the peppy acceleration, especially when merging onto the highway. Pickup location signage was clear enough, though a second sign near the exit would help newcomers. Fuel economy matched the manufacturer's rating; nothing surprising there. The pickup process was smooth and the staff greeted me with genuine warmth. I was impressed by how spotless the interior and exterior of the vehicle were. The fuel efficiency saved me money on a long road trip across three states. Returning the car was effortless; it took less than five minutes to finalize everything. I appreciated the transparent pricing; there were no hidden fees on my final invoice.",Audi A4,positive,"['staff_behavior', 'billing']"
02-11-2024,David Martin,"The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. Their mobile app worked, although it occasionally froze during the reservation process. The tank was only three-quarters full even though they claimed it was topped off. Despite reserving an automatic, I was handed a manual and told no automatics were available. There was an unexplained additional charge on my bill that I had to dispute. Ride comfort was acceptable on city streets but a bit firm over potholes. The windshield wipers were old and smeared rain, making night driving stressful.",Mercedes C-Class,negative,"['car_condition', 'staff_behavior']"
30-01-2024,Javier Fischer,"There was an unexplained additional charge on my bill that I had to dispute. The fuel efficiency saved me money on a long road trip across three states. The trunk space was adequate for two large suitcases but nothing extraordinary. I loved the peppy acceleration, especially when merging onto the highway. The tank was only three-quarters full even though they claimed it was topped off. The pickup process was smooth and the staff greeted me with genuine warmth. I was impressed by how spotless the interior and exterior of the vehicle were. Despite reserving an automatic, I was handed a manual and told no automatics were available. The windshield wipers were old and smeared rain, making night driving stressful.",Mazda 3,positive,['staff_behavior']
24-05-2024,Kara Usman,"I was impressed by how spotless the interior and exterior of the vehicle were. The windshield wipers were old and smeared rain, making night driving stressful. The fuel efficiency saved me money on a long road trip across three states. Returning the car was effortless; it took less than five minutes to finalize everything. The tank was only three-quarters full even though they claimed it was topped off. Road noise was noticeable on rough asphalt, but conversation inside remained possible. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date.",Tesla Model 3,positive,['car_condition']
13-12-2024,Alice Singh,"The windshield wipers were old and smeared rain, making night driving stressful. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. I loved the peppy acceleration, especially when merging onto the highway. There was an unexplained additional charge on my bill that I had to dispute. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. Acceleration was average; it performed as expected for a mid-size sedan. The tank was only three-quarters full even though they claimed it was topped off. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. The company offered me a free upgrade, and it genuinely enhanced my vacation experience.",Audi A4,positive,['staff_behavior']
25-02-2024,Isha Johansson,"The trunk space was adequate for two large suitcases but nothing extraordinary. Returning the car was effortless; it took less than five minutes to finalize everything. The pickup process was smooth and the staff greeted me with genuine warmth. Ride comfort was acceptable on city streets but a bit firm over potholes. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. I appreciated the transparent pricing; there were no hidden fees on my final invoice. I loved the peppy acceleration, especially when merging onto the highway. The car felt brand-new, with no rattles or strange noises even at highway speed.",Kia Optima,positive,"['staff_behavior', 'billing']"
22-06-2024,Alice Ivanov,"The pickup process was smooth and the staff greeted me with genuine warmth. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. I was impressed by how spotless the interior and exterior of the vehicle were. Ride comfort was acceptable on city streets but a bit firm over potholes. Their mobile app worked, although it occasionally froze during the reservation process. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. The fuel efficiency saved me money on a long road trip across three states. I loved the peppy acceleration, especially when merging onto the highway.",Chevrolet Malibu,positive,['staff_behavior']
15-02-2025,Nikhil Valdez,"The seats offered decent lumbar support but could use softer cushioning for long drives. I appreciated the transparent pricing; there were no hidden fees on my final invoice. Exterior styling was plain, but I suppose function matters more than form for a rental. Returning the car was effortless; it took less than five minutes to finalize everything. I loved the peppy acceleration, especially when merging onto the highway. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. The pickup process was smooth and the staff greeted me with genuine warmth. The fuel efficiency saved me money on a long road trip across three states.",Audi A4,positive,"['staff_behavior', 'billing']"
08-09-2024,Grace Diaz,"The company offered me a free upgrade, and it genuinely enhanced my vacation experience. There was an unexplained additional charge on my bill that I had to dispute. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. I loved the peppy acceleration, especially when merging onto the highway. Acceleration was average; it performed as expected for a mid-size sedan. The fuel efficiency saved me money on a long road trip across three states. I was impressed by how spotless the interior and exterior of the vehicle were. The windshield wipers were old and smeared rain, making night driving stressful. The tank was only three-quarters full even though they claimed it was topped off.",Ford Focus,positive,['other']
07-10-2024,Nikhil Nakamura,"Exterior styling was plain, but I suppose function matters more than form for a rental. The tank was only three-quarters full even though they claimed it was topped off. The windshield wipers were old and smeared rain, making night driving stressful. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. I waited nearly forty minutes in line because only one counter was open at pickup. Fuel economy matched the manufacturer's rating; nothing surprising there.",Tesla Model 3,negative,"['late_delivery', 'car_condition', 'staff_behavior']"
02-10-2024,David Valdez,"The tank was only three-quarters full even though they claimed it was topped off. Acceleration was average; it performed as expected for a mid-size sedan. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. Fuel economy matched the manufacturer's rating; nothing surprising there. There was an unexplained additional charge on my bill that I had to dispute. Despite reserving an automatic, I was handed a manual and told no automatics were available.",Subaru Impreza,negative,"['car_condition', 'staff_behavior']"
19-06-2024,Kara O'Neil,"I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Pickup location signage was clear enough, though a second sign near the exit would help newcomers. I was impressed by how spotless the interior and exterior of the vehicle were. I waited nearly forty minutes in line because only one counter was open at pickup. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. I appreciated the transparent pricing; there were no hidden fees on my final invoice. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. The car felt brand-new, with no rattles or strange noises even at highway speed. I loved the peppy acceleration, especially when merging onto the highway.",Honda Civic,negative,"['late_delivery', 'car_condition', 'staff_behavior', 'billing']"
25-04-2025,Rina Fischer,"There was an unexplained additional charge on my bill that I had to dispute. The pickup process was smooth and the staff greeted me with genuine warmth. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. I was impressed by how spotless the interior and exterior of the vehicle were. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. I loved the peppy acceleration, especially when merging onto the highway. The seats offered decent lumbar support but could use softer cushioning for long drives. The air-conditioning emitted a musty odor that never completely went away during the rental.",Subaru Impreza,positive,"['car_condition', 'cleanliness', 'staff_behavior']"
06-07-2024,Isha Johansson,"Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The pickup process was smooth and the staff greeted me with genuine warmth. Acceleration was average; it performed as expected for a mid-size sedan. The tank was only three-quarters full even though they claimed it was topped off. I waited nearly forty minutes in line because only one counter was open at pickup. Returning the car was effortless; it took less than five minutes to finalize everything. I was impressed by how spotless the interior and exterior of the vehicle were. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly.",BMW 3 Series,positive,"['late_delivery', 'car_condition', 'staff_behavior']"
05-10-2024,Frank Rahman,"I found potato chip crumbs under the seat, suggesting the cleaning was rushed. The windshield wipers were old and smeared rain, making night driving stressful. The air-conditioning emitted a musty odor that never completely went away during the rental. Road noise was noticeable on rough asphalt, but conversation inside remained possible. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. The infotainment system had standard features, though the screen was smaller than newer models. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning.",Ford Focus,negative,"['car_condition', 'cleanliness', 'staff_behavior']"
08-01-2025,Frank Usman,"Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. The windshield wipers were old and smeared rain, making night driving stressful. The tank was only three-quarters full even though they claimed it was topped off. Fuel economy matched the manufacturer's rating; nothing surprising there. The infotainment system had standard features, though the screen was smaller than newer models. Despite reserving an automatic, I was handed a manual and told no automatics were available.",Mazda 3,negative,"['car_condition', 'staff_behavior']"
06-05-2024,Bob O'Neil,"The infotainment system had standard features, though the screen was smaller than newer models. The tank was only three-quarters full even though they claimed it was topped off. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. Despite reserving an automatic, I was handed a manual and told no automatics were available. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. Their mobile app worked, although it occasionally froze during the reservation process. The air-conditioning emitted a musty odor that never completely went away during the rental. I found potato chip crumbs under the seat, suggesting the cleaning was rushed.",Mercedes C-Class,negative,"['car_condition', 'cleanliness', 'staff_behavior']"
01-03-2024,Pablo Diaz,"The car felt brand-new, with no rattles or strange noises even at highway speed. The pickup process was smooth and the staff greeted me with genuine warmth. Their mobile app worked, although it occasionally froze during the reservation process. I waited nearly forty minutes in line because only one counter was open at pickup. I was impressed by how spotless the interior and exterior of the vehicle were. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. The fuel efficiency saved me money on a long road trip across three states. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet.",BMW 3 Series,positive,"['late_delivery', 'car_condition', 'staff_behavior']"
11-02-2024,Quinn Williams,"I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Despite reserving an automatic, I was handed a manual and told no automatics were available. I waited nearly forty minutes in line because only one counter was open at pickup. Acceleration was average; it performed as expected for a mid-size sedan. The tank was only three-quarters full even though they claimed it was topped off. The windshield wipers were old and smeared rain, making night driving stressful. Their mobile app worked, although it occasionally froze during the reservation process. The air-conditioning emitted a musty odor that never completely went away during the rental.",Honda Civic,negative,"['late_delivery', 'cleanliness']"
29-03-2025,Rina Diaz,"The seats offered decent lumbar support but could use softer cushioning for long drives. The fuel efficiency saved me money on a long road trip across three states. The car felt brand-new, with no rattles or strange noises even at highway speed. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. Their mobile app worked, although it occasionally froze during the reservation process. I appreciated the transparent pricing; there were no hidden fees on my final invoice. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. The pickup process was smooth and the staff greeted me with genuine warmth.",Mazda 3,positive,"['staff_behavior', 'billing']"
19-08-2024,Uma Zhou,"Exterior styling was plain, but I suppose function matters more than form for a rental. Despite reserving an automatic, I was handed a manual and told no automatics were available. Fuel economy matched the manufacturer's rating; nothing surprising there. The windshield wipers were old and smeared rain, making night driving stressful. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. The air-conditioning emitted a musty odor that never completely went away during the rental. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. I waited nearly forty minutes in line because only one counter was open at pickup.",Tesla Model 3,negative,"['late_delivery', 'cleanliness', 'staff_behavior']"
